;nomeCientifico;nomePopular;familia;categoria;clima;origem;altura;luminosidade;cicloDeVida
205;Clarkia amoena;Flor-de-cetim, Clárquia, Flor-de-setim, Godetia;Onagraceae;Flores Anuais;Mediterrâneo, Oceânico, Subtropical, Temperado;América do Norte, Estados Unidos;0.4 a 0.6 metros, 0.6 a 0.9 metros;Meia Sombra, Sol Pleno;Anual
206;Clematis x hybrida;Clemátis, Clematite;Ranunculaceae;Trepadeiras;Mediterrâneo, Subtropical, Temperado;América do Norte, Ásia, Europa;1.8 a 2.4 metros, 2.4 a 3.0 metros;Meia Sombra, Sol Pleno;Perene
207;Cleome hassleriana;Cleome, Beijo-fedorento, Mussambê, Mussambê-fedorento, Planta-aranha, Sete-marias;Cleomaceae;Arbustos, Arbustos Tropicais, Flores Anuais, Flores Perenes, Plantas Aquáticas, Plantas Palustres;Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;América do Sul;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Sol Pleno;Perene
208;Clerodendrum bungei;Clerodendro-da-china, Hortênsia-mexicana, Flor-da-glória;Lamiaceae;Arbustos, Cercas Vivas, Flores, Flores Perenes;Continental, Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, China, Índia;0.9 a 1.2 metros, 1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
209;Clerodendrum chinense;Hortênsia-filipina, Clerodendro, Clerodendro-cheiroso, Clerodendro-odorífero, Volcana, Vulcana, Flor-de-monturo, Hortência-philipina;Lamiaceae;Arbustos, Arbustos Tropicais;Subtropical, Tropical;Ásia, China, Índia, Japão, Vietnã;0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros;Meia Sombra, Sol Pleno;Perene
210;Clerodendrum infortunatum;Clerodendro-perfumado, Clerodendro-do-morro, Clerodendro, Flor-do-montouro, Clerodendro-odorífico;Lamiaceae;Arbustos, Arbustos Tropicais, Cercas Vivas;Equatorial, Subtropical, Tropical;Ásia, Bangladesh, Birmânia, Índia, Malásia, Paquistão, Sri Lanka, Tailândia;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros;Meia Sombra, Sol Pleno;Perene
211;Clerodendrum paniculatum;Flor-de-pagode, ;Lamiaceae;Arbustos, Arbustos Tropicais;Equatorial, Oceânico, Subtropical, Tropical;Arquipélago Bismarck, Ásia, Bornéu, China, Filipinas, Índia, Indonésia, Malásia, Oceania, Sri Lanka, Sumatra, Taiwan, Vietnã;1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
212;Clerodendrum quadriloculare;Clerodendro-cotonete, Flor-cotonete, Chuva-de-fogo, Fogos-de-artifício, Clerodendro, Chuva-de-estrelas, Estrela-cadente, Árvore-do-cotonete;Lamiaceae;Arbustos, Arbustos Tropicais, Árvores, Árvores Ornamentais;Equatorial, Oceânico, Subtropical, Tropical;Ásia, Filipinas, Nova Guiné, Oceania;2.4 a 3.0 metros, 3.0 a 3.6 metros;Meia Sombra, Sol Pleno;Perene
213;Clerodendrum speciosissimum;Clerodendro, Clerodendro-vermelho;Lamiaceae;Arbustos, Arbustos Tropicais;Equatorial, Oceânico, Subtropical, Tropical;Ásia, Indonésia, Java, Oceania;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros;Meia Sombra, Sol Pleno;Perene
214;Clerodendrum splendens;Clerodendro-vermelho, Clerodendro, Clerodendro-trepador;Lamiaceae;Trepadeiras;Equatorial, Subtropical, Tropical;Ásia;2.4 a 3.0 metros;Sol Pleno;Perene
215;Clerodendrum thomsonae;Lágrima-de-cristo, Clerodendro-trepador;Lamiaceae;Trepadeiras;Equatorial, Mediterrâneo, Subtropical, Tropical;África;3.0 a 3.6 metros;Meia Sombra, Sol Pleno;Perene
216;Clerodendrum wallichii;Clerodendro-branco, ;Lamiaceae;Arbustos, Arbustos Tropicais;Equatorial, Subtropical, Tropical;Ásia, Bangladesh, Birmânia, Butão, China, Índia, Nepal, Paquistão, Vietnã;2.4 a 3.0 metros, 3.0 a 3.6 metros;Luz Difusa, Meia Sombra, Sol Pleno;Perene
217;Clerodendrum x speciosum;Coração-sangrento, Clerodendro-rosa;Lamiaceae;Arbustos, Arbustos Tropicais, Trepadeiras;Mediterrâneo, Oceânico, Subtropical, Tropical;África, Ásia;3.6 a 4.7 metros;Luz Difusa, Meia Sombra, Sol Pleno;Perene
218;Clivia miniata;Clívia, ;Amaryllidaceae;Bulbosas, Flores Perenes;Equatorial, Mediterrâneo, Subtropical, Tropical;África, África do Sul;0.4 a 0.6 metros;Meia Sombra, Sol Pleno;Perene
219;Clusia fluminensis;Clúsia, ;Clusiaceae;Arbustos, Arbustos Tropicais;Equatorial, Mediterrâneo, Oceânico, Subtropical, Tropical;América do Sul, Brasil;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros;Meia Sombra, Sol Pleno;Perene
220;Cobaea scandens;Estefânia, Cobéia, Sinos-de-catedral, Sinos-de-convento;Polemoniaceae;Trepadeiras;Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;América do Norte, México;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros;Sol Pleno;Perene
221;Cocos nucifera;Coco, Coco-da-baía, Coco-da-praia, Coqueiro, Coqueiro-anão, Coqueiro-da-índia;Arecaceae;Árvores, Árvores Frutíferas, Palmeiras;Equatorial, Oceânico, Subtropical, Tropical;Ásia;1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros, 9.0 a 12 metros;Sol Pleno;Perene
222;Codiaeum variegatum;Cróton, Folha-imperial, Louro-variegado;Euphorbiaceae;Arbustos, Arbustos Tropicais;Equatorial, Subtropical, Tropical;Ásia;0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros;Meia Sombra, Sol Pleno;Perene
223;Coelogyne cristata;Coelogyne, Branca-de-neve, Orquídea-branca, Orquídea-anjo;Orchidaceae;Flores, Orquídeas;Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, Butão, Himalaia, Índia, Java, Nepal, Vietnã;0.1 a 0.3 metros;Luz Difusa, Meia Sombra;Perene
224;Cojoba arborea;Brinco-de-índio, Cojoba, Siraricito;Fabaceae;Árvores, Árvores Ornamentais;Equatorial, Tropical;América Central, América do Norte, América do Sul, Antilhas, Belize, Bolívia, Costa Rica, Cuba, El Salvador, Equador, Haiti, Honduras, Jamaica, México, Porto Rico;6.0 a 9.0 metros, 9.0 a 12 metros, acima de 12 metros;Sol Pleno;Perene
225;Colocasia esculenta;Taro, Coco, Inhame-branco, Inhame-coco, Inhame-preto, Inhame-selvagem, Orelha-de-elefante, Taioba, Taioba-de-são-tomé;Araceae;Arbustos, Arbustos Tropicais, Bulbosas, Folhagens, Plantas Hortícolas, Raízes e Rizomas;Equatorial, Subtropical, Tropical;Ásia;0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros;Meia Sombra, Sol Pleno;Perene
226;Combretum fruticosum;Escova-de-macaco, Bugio, Escova-de-macaco-alaranjada, Escovinha, Escovinha-flor-de-fogo, Escovinha-raspadeira, Flor-de-fogo, Limpa-garrafa-laranja;Combretaceae;Arbustos, Arbustos Tropicais, Trepadeiras;Equatorial, Subtropical, Tropical;América do Sul;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros;Meia Sombra, Sol Pleno;Perene
227;Commelina erecta;Trapoeraba, Andaca, Santa-luzia;Commelinaceae;Folhagens, Forrações à Meia Sombra, Forrações ao Sol Pleno, Plantas Daninhas;Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;América Central, América do Norte, América do Sul;0.3 a 0.4 metros;Meia Sombra, Sol Pleno;Perene
228;Congea tomentosa;Congéia, Côngea;Verbenaceae;Arbustos, Cercas Vivas, Trepadeiras;Equatorial, Oceânico, Subtropical, Tropical;Ásia, Birmânia, Índia, Malásia, Tailândia;4.7 a 6.0 metros;Sol Pleno;Perene
229;Convallaria majalis;Lírio-do-brejo, Convalária, Lírio-convale, Lírio-de-maio, Lírio-do-vale;Ruscaceae;Bulbosas, Flores Perenes, Medicinal;Mediterrâneo, Subtropical, Temperado;Ásia, Europa;0.1 a 0.3 metros;Luz Difusa, Meia Sombra;Perene
230;Convolvulus tricolor;Bela-manhã, Chuchas, Glória-da-manhã-anã;Convolvulaceae;Flores Anuais;Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Europa;0.3 a 0.4 metros;Sol Pleno;Anual
231;Coprosma repens;Planta-espelho, Coprosma, Arbusto-espelho, Brilhantíssima, Planta-do-sol-nascente;Rubiaceae;Arbustos, Arbustos Tropicais, Bonsai, Cercas Vivas;Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Nova Zelândia, Oceania;0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros;Meia Sombra, Sol Pleno;Perene
232;Cordyline fruticosa;Coqueiro-de-vênus, Fiteira, Lírio-palma, Cordiline-verde, Cordiline, Dracena, Peregum, Peregum-roxo;Asparagaceae;Arbustos, Arbustos Tropicais, Folhagens, Plantas Esculturais;Equatorial, Mediterrâneo, Oceânico, Subtropical, Tropical;Ásia, Austrália, Nova Guiné, Oceania, Polinésia;0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros;Meia Sombra, Sol Pleno;Perene
233;Cordyline terminalis;Dracena-vermelha, Coqueiro-de-vênus, Cordiline;Laxmanniaceae;Arbustos, Arbustos Tropicais, Folhagens;Equatorial, Oceânico, Subtropical, Tropical;Ásia, Índia, Malásia, Oceania, Polinésia;1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
234;Coreopsis lanceolata;Coreópsis, Margaridinha-amarela;Asteraceae;Flores Anuais;Mediterrâneo, Subtropical, Temperado, Tropical;América do Norte, Estados Unidos;0.3 a 0.4 metros;Sol Pleno;Perene
235;Coreopsis tinctoria;Margaridinha-escura, ;Asteraceae;Flores Anuais;Continental, Equatorial, Subtropical, Temperado, Tropical;América do Norte, Estados Unidos;0.6 a 0.9 metros;Sol Pleno;Anual, Bienal
236;Coriandrum sativum;Coentro, Cilantro, Coentro-português, Coriandro, Erva-percevejo, Salsinha;Apiaceae;Ervas Condimentares, Medicinal, Plantas Hortícolas;Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;Europa, Mediterrâneo;0.4 a 0.6 metros;Sol Pleno;Anual
237;Cornus florida;Cornos, Corniso-florido, Cornizo-florido;Cornaceae;Árvores, Árvores Ornamentais;Subtropical, Temperado;América do Norte, Estados Unidos;4.7 a 6.0 metros, 6.0 a 9.0 metros;Meia Sombra, Sol Pleno;Perene
238;Cortaderia selloana;Capim-dos-pampas, Cana-dos-pampas, Cortadeira, Penacho-branco, Pluma;Poaceae;Arbustos, Flores Perenes, Folhagens;Mediterrâneo, Subtropical, Tropical;América do Sul, Argentina, Brasil;2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros;Sol Pleno;Perene
239;Cosmos bipinnatus;Cosmos, Beijo-de-moça, Cosméa, Cosmo, Cosmos-de-jardim, Picão-rosa;Asteraceae;Flores Anuais;Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;América do Norte, México;0.6 a 0.9 metros, 0.9 a 1.2 metros;Sol Pleno;Anual
240;Costus spiralis;Caatinga, Cana-branca, Cana-de-macaco, Cana-do-brejo, Cana-do-mato, Canarana-do-brejo, Costus, Jacuacanga, Jacuanga, Paco-caatinga, Pacová, Periná, Ubacaia, Ubacayá;Zingiberaceae;Arbustos, Arbustos Tropicais;Equatorial, Subtropical, Tropical;América do Sul;1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
241;Cotoneaster horizontalis;Cotoneáster-das-pedras, Cotoneáster, Cotoneáster-das-rochas;Rosaceae;Arbustos, Cercas Vivas;Continental, Mediterrâneo, Subtropical, Temperado;Ásia, China;0.6 a 0.9 metros;Meia Sombra, Sol Pleno;Perene
242;Couroupita guianensis;Abricó-de-macaco, Amêndoa-dos-andes, Árvore-de-macaco, Castanha-de-macaco, Cuia-de-macaco, Cuiarana, Curupita, Macacarecuia;Lecythidaceae;Árvores, Árvores Frutíferas, Árvores Ornamentais;Equatorial, Subtropical, Tropical;América do Sul;acima de 12 metros;Sol Pleno;Perene
243;Crassula ovata;Planta-jade, Planta-de-jade, Árvore-da-amizade, Bálsamo-de-jardim;Crassulaceae;Arbustos, Arbustos Tropicais, Cactos e Suculentas, Folhagens;Continental, Equatorial, Mediterrâneo, Oceânico, Semi-árido, Subtropical, Tropical;África, África do Sul;0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
244;Crinum americanum;Crino-americano, Açucena;Amaryllidaceae;Bulbosas, Flores, Plantas Aquáticas, Plantas Palustres;Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;América Central, América do Norte, Antilhas, Cuba, Estados Unidos, Jamaica;0.4 a 0.6 metros, 0.6 a 0.9 metros;Luz Difusa, Meia Sombra, Sol Pleno;Perene
245;Crinum erubescens;Açucena-da-água, Açucena-do-brejo, Cebola-cecém, Crino-cor-de-rosa;Amaryllidaceae;Bulbosas, Flores Perenes, Plantas Palustres;Equatorial, Subtropical, Tropical;América Central, América do Sul;1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
246;Crinum x powellii;Crino, ;Amaryllidaceae;Bulbosas, Flores Perenes;Mediterrâneo, Subtropical, Tropical;África, África do Sul;0.4 a 0.6 metros;Sol Pleno;Perene
247;Crocosmia crocosmiiflora;Tritônia, Crocosmia, Estrela-de-fogo;Iridaceae;Bulbosas, Flores Perenes;Mediterrâneo, Subtropical, Temperado, Tropical;África, África do Sul;0.9 a 1.2 metros;Meia Sombra, Sol Pleno;Perene
248;Crossandra infundibuliformis;Crossandra, Crossandra-laranja, Crossandra-salmão;Acanthaceae;Arbustos, Arbustos Tropicais, Flores Perenes;Equatorial, Subtropical, Tropical;Ásia, Índia, Sri Lanka;0.6 a 0.9 metros;Meia Sombra;Perene
249;Ctenanthe oppenheimiana;Maranta-variegada, ;Marantaceae;Folhagens, Forrações à Meia Sombra;Equatorial, Subtropical, Tropical;América do Sul, Brasil;0.6 a 0.9 metros;Luz Difusa, Meia Sombra;Perene
250;Ctenanthe setosa;Maranta-cinza, Tenante;Marantaceae;Folhagens, Forrações à Meia Sombra;Equatorial, Subtropical, Tropical;América do Sul, Brasil;0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros;Luz Difusa, Meia Sombra;Perene
251;Cucurbita spp;Abóbora, Abóbora-amarela, Abóbora-da-guiné, Abóbora-de-carne-branca, Abóbora-de-carneiro, Abóbora-de-porco, Abóbora-grande, Abóbora-menina, Abóbora-moganga, Abóbora-moranga, Abóbora-porqueira, Abóbora-quaresma, Aboboreira, Abobra, Abobreira-grande, Abobrinha-de-tronco, Abobrinha-italiana, Cabaceira, Erimum, Girimum, Jeremum, Jerimum, Jerimunzeiro, Jerui, Jurumum;Cucurbitaceae;Folhas e Flores, Frutas e Legumes, Medicinal, Plantas Hortícolas;Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;América Central, América do Norte, América do Sul;1.8 a 2.4 metros;Sol Pleno;Anual
252;Cuphea hyssopifolia;Cuféia, Cúfea, Falsa-érica;Lythraceae;Flores Perenes;Equatorial, Subtropical, Tropical;América do Sul, Colômbia, Venezuela;0.1 a 0.3 metros, menos de 15 cm;Meia Sombra, Sol Pleno;Perene
253;Cuphea ignea;Flor-de-santo-antonio, Chispa, Cigarro-aceso, Cúfea, Santantoninho;Lythraceae;Flores Perenes;Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;América do Norte, México;0.3 a 0.4 metros;Meia Sombra, Sol Pleno;Perene
254;Cupressus lusitanica;Cedrinho, Cedro, Cedro-de-goa, Cedro-de-portugal, Cedro-do-Buçaco, Cipreste, Cipreste-de-bentham, Cipreste-de-lindley, Cipreste-de-portugal, Cipreste-mexicano, Cipreste-português, Pinheirinho;Cupressaceae;Arbustos, Arbustos Tropicais, Árvores, Árvores Ornamentais, Bonsai, Cercas Vivas;Equatorial, Mediterrâneo, Subtropical, Tropical;América Central, América do Norte, México;1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros, 9.0 a 12 metros, acima de 12 metros;Sol Pleno;Perene
255;Cupressus macrocarpa;Cipreste-de-monterei, Cipreste-da-califórnia, Tuia-holandesa, Tuia-limão;Cupressaceae;Árvores, Árvores Ornamentais;Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;América do Norte, Estados Unidos;acima de 12 metros;Sol Pleno;Perene
256;Curculigo capitulata;Curculigo, Capim-palmeira;Amaryllidaceae;Folhagens, Forrações à Meia Sombra;Equatorial, Subtropical, Tropical;Ásia;0.9 a 1.2 metros, 1.2 a 1.8 metros;Luz Difusa, Meia Sombra;Perene
257;Curcuma alismatifolia;Açafrão-da-conchinchina, Tulipa, Tulipa-do-sião;Zingiberaceae;Bulbosas, Flores Perenes;Equatorial, Oceânico, Subtropical, Tropical;Ásia, China, Vietnã;0.4 a 0.6 metros, 0.6 a 0.9 metros;Meia Sombra;Perene
258;Curcuma zedoaria;Zedoária, Falso-açafrão, Açafrão-da-índia, Raiz-de-zedoária, Açafroa, Açafroeira, Açafrão-da-terra, Batatinha-amarela, Gengibre-de-dourar, Gengibre-dourado, Gengibre-amarelo, Mangarataia;Zingiberaceae;Arbustos, Arbustos Tropicais, Ervas Condimentares, Flores, Flores Perenes, Folhagens, Medicinal, Plantas Hortícolas, Raízes e Rizomas;Equatorial, Subtropical, Temperado, Tropical;Ásia, Índia;0.9 a 1.2 metros;Luz Difusa, Meia Sombra;Perene
259;Cuscuta spp;Fios-de-ovos, Aletria, Aletria-de-pau, Anó-peipa, Awó-pupa, Cipó-chumbinho, Cipó-chumbo, Cipó-de-chumbo, Cipó-dourado, Cuscuta, Erva-de-chumbo, Espaguete, Fios-de-ouro, Tinge-ovos, Xirimbeira;Convolvulaceae;Plantas Parasitas;Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;África, América Central, América do Norte, América do Sul, Ásia, Europa, Oceania;0.4 a 0.6 metros;Luz Difusa, Meia Sombra, Sol Pleno;Perene
260;Cycas circinalis;Palmeira-sagu, Sagu, Cica, Cicas, Palmeira-samambaia, Cica-elegante;Cicadaceae;Arbustos, Arbustos Tropicais, Árvores, Folhagens, Palmeiras, Plantas Esculturais;Equatorial, Oceânico, Subtropical, Tropical;Índia, Sri Lanka;4.7 a 6.0 metros;Meia Sombra, Sol Pleno;Perene
261;Cycas revoluta;Cica, Palmeira-sagu, Sagu;Cicadaceae;Arbustos, Arbustos Tropicais, Bonsai, Plantas Esculturais;Equatorial, Oceânico, Subtropical, Tropical;Ásia, Indonésia, Japão;3.0 a 3.6 metros;Meia Sombra, Sol Pleno;Perene
262;Cyclamen persicum;Ciclame, Ciclame-da-pérsia, Ciclame-de-alepo, Ciclamen;Primulaceae;Bulbosas, Flores Perenes;Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Europa, Mediterrâneo;0.1 a 0.3 metros;Luz Difusa, Meia Sombra;Perene
263;Cymbidium spp;Cimbídio, Orquídea-cimbídio;Orchidaceae;Flores Perenes, Orquídeas;Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, Himalaia;0.6 a 0.9 metros;Meia Sombra;Perene
264;Cymbopogon citratus;Capim-limão, Belgata, Belgate, Capim-cheiroso, Capim-cidrão, Capim-cidreira, Capim-cidrilho, Capim-cidró, Capim-de-cheiro, Capim-marinho, Capim-membeca, Capim-santo, Chá-de-caxinde, Chá-de-estrada, Chá-de-príncipe, Chá-do-gabão, Cidró, Esquenanto, Palha-de-camelo, Príncipe;Poaceae;Ervas Condimentares, Medicinal, Plantas Hortícolas;Equatorial, Mediterrâneo, Subtropical, Tropical;Ásia, Índia;0.6 a 0.9 metros, 0.9 a 1.2 metros;Sol Pleno;Perene
265;Cymbopogon winterianus;Citronela, Capim-citronela, Cidró-do-paraguai, Citronela-de-java, Citronela-do-ceilão;Poaceae;Medicinal, Plantas Hortícolas;Equatorial, Oceânico, Subtropical, Tropical;Ásia, Índia, Indonésia, Java, Sri Lanka;0.9 a 1.2 metros, 1.2 a 1.8 metros;Sol Pleno;Perene
266;Cynara scolymus;Alcachofra, Alcachofra-globosa;Asteraceae;Flores Perenes, Folhas e Flores, Medicinal, Plantas Hortícolas;Mediterrâneo, Subtropical, Temperado;África, Europa;1.2 a 1.8 metros;Sol Pleno;Perene
267;Cynodon dactylon;Grama-bermudas, Erva-gramilheira, Escalracheira, Escalracho, Grama, Grama-bermuda, Grama-das-boticas, Grama-seda, Grama-tifton, Gramão, Graminheira, Pé-de-galinha;Poaceae;Gramados;Equatorial, Subtropical, Tropical;África;0.1 a 0.3 metros, 0.3 a 0.4 metros;Sol Pleno;Perene
268;Cyperus alternifolius;Sombrinha-chinesa, Palmeira-umbela, Planta-umbela, Sombrinha;Cyperaceae;Plantas Aquáticas, Plantas Palustres;Equatorial, Oceânico, Subtropical, Tropical;Madagascar;1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
269;Cyperus giganteus;Papiro-brasileiro, Papiro;Cyperaceae;Plantas Aquáticas, Plantas Palustres;Equatorial, Subtropical, Tropical;América do Sul, Brasil;2.4 a 3.0 metros;Sol Pleno;Perene
270;Cyperus rotundus;Tiririca, Capim-dandá, Junça, Tiririca-do-brejo, Hamassuguê, Cebolinha, Erva-côco, Junça-aromática, Tiririca-comum, Amanhã-tô-aqui;Cyperaceae;Plantas Daninhas;Equatorial, Subtropical, Tropical;Ásia, Índia;0.1 a 0.3 metros, 0.3 a 0.4 metros, 0.4 a 0.6 metros;Meia Sombra, Sol Pleno;Perene
271;Cyrtopodium flavum;Sumaré-da-praia, ;Orchidaceae;Flores, Flores Perenes, Orquídeas;Subtropical, Tropical;América do Sul, Brasil;0.4 a 0.6 metros;Sol Pleno;Perene
272;Cyrtostachys renda;Palmeira-laca, Palma-de-cera, Palmeira-de-cera, Palmeira-laca-vermelha, Palmeira-lacre, Palmeira-vermelha;Arecaceae;Palmeiras;Equatorial, Oceânico, Subtropical, Tropical;Ásia, Bornéu, Ilhas da Sonda, Indonésia, Malásia, Oceania, Tailândia;6.0 a 9.0 metros, 9.0 a 12 metros;Meia Sombra, Sol Pleno;Perene
273;Dahlia pinnata;Dália, Dália-de-jardim;Asteraceae;Bulbosas, Flores Perenes;Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;América do Norte, México;0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Sol Pleno;Perene
274;Dasylirion acrotrichum;Rabo-de-dragão, Dasilírio, Dasilirium;Asparagaceae;Cactos e Suculentas, Folhagens, Plantas Esculturais;Continental, Equatorial, Mediterrâneo, Oceânico, Semi-árido, Subtropical, Temperado, Tropical;América do Norte, México;0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Sol Pleno;Perene
275;Datura metel;Saia-roxa, Trombeta-roxa, Trombeta-dos-anjos, Babado-de-viúva, Zabumba-roxa, Manto-de-cristo, Anjo-da-trombeta, Trombeteira, Trompete-do-diabo, Trombeta-do-diabo, Planta-sagrada, Anágua-de-viúva;Solanaceae;Arbustos, Arbustos Tropicais, Flores, Flores Perenes, Plantas Daninhas, Plantas Tóxicas;Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, China, Índia;1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Anual, Perene
276;Daucus carota;Cenoura, Cenoira, Cenoura-selvagem;Apiaceae;Medicinal, Plantas Hortícolas, Raízes e Rizomas;Equatorial, Mediterrâneo, Subtropical, Tropical;Ásia, Europa;0.6 a 0.9 metros;Sol Pleno;Anual
277;Davalia fejeensis;Renda-portuguesa, Samambaia-pé-de-coelho;Davalliaceae;Folhagens;Equatorial, Subtropical, Tropical;Austrália, Ilhas Fiji, Oceania;0.1 a 0.3 metros, 0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros;Luz Difusa, Meia Sombra;Perene
278;Delairea odorata;Trepadeira-africana, Gerânio-africano, Hera-alemã, Senécio, Trepadeira-senécio;Asteraceae;Trepadeiras;Mediterrâneo, Subtropical, Temperado, Tropical;África, África do Sul;4.7 a 6.0 metros;Luz Difusa, Meia Sombra, Sol Pleno;Perene
279;Delonix regia;Flamboyant, Acácia-rubra, Árvore-flamejante, Flamboiant, Flor-do-paraíso, Pau-rosa;Fabaceae;Árvores, Árvores Ornamentais;Equatorial, Subtropical, Tropical;África, Madagascar;6.0 a 9.0 metros, 9.0 a 12 metros;Sol Pleno;Perene
280;Dendrobium aphyllum;Dendróbio-de-capuz, Orquídea-das-fadas;Orchidaceae;Flores, Orquídeas;Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Ásia, Austrália, Birmânia, Bornéu, Butão, Camboja, China, Himalaia, Índia, Java, Laos, Malásia, Nepal, Oceania, Tailândia, Vietnã;0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Luz Difusa, Meia Sombra;Perene
281;Dendrobium loddigesii;Dendróbio-de-Loddigesii, ;Orchidaceae;Flores, Orquídeas;Tropical;Ásia, China, Laos, Vietnã;0.1 a 0.3 metros;Meia Sombra;Perene
282;Dendrobium nobile;Olho-de-boneca, Dendróbio;Orchidaceae;Orquídeas;Equatorial, Subtropical, Tropical;Ásia;0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros;Meia Sombra, Sol Pleno;Perene
283;Dendrobium phalaenopsis;Dendróbio-falenópsis, Dendróbio-compacto, Denfal, Denfale, Olho-de-boneca;Orchidaceae;Flores Perenes, Orquídeas;Equatorial, Subtropical, Tropical;Austrália, Oceania;0.1 a 0.3 metros, 0.3 a 0.4 metros, 0.4 a 0.6 metros;Meia Sombra;Perene
284;Deutzia gracilis;Deutzia, Deutzia-elegante;Hydrangeaceae;Arbustos, Flores, Flores Perenes;Mediterrâneo, Subtropical, Temperado;Ásia, Japão;1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
285;Dianella tasmanica;Dianela, Dionela;Xanthorrhoeaceae;Folhagens, Forrações ao Sol Pleno, Gramados e Forrações;Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Austrália, Oceania, Tasmania;0.3 a 0.4 metros;Meia Sombra, Sol Pleno;Perene
286;Dianthus caryophyllus;Cravo, Craveiro;Caryophyllaceae;Flores Perenes;Mediterrâneo, Subtropical, Temperado, Tropical;Europa;0.4 a 0.6 metros;Sol Pleno;Perene
